Date,Name,Signal,Prediction,Duration,Cumulative Value
2023-07-05,UPST,4.187836987048601,0.64,1 month,2.6802156717111045
2023-07-05,OC,1.5160834333994806,0.72,3 months,1.091580072047626
2023-07-05,SNAP,1.7432020274091091,0.79,3 months,1.3771296016531962
2023-07-05,ALGT,1.8661207029796267,0.73,3 months,1.3622681131751275
2023-07-05,ENTG,2.0072789923933176,0.71,3 months,1.4251680845992554
2023-07-05,GBX,2.6053066934067473,0.71,3 months,1.8497677523187905
2023-07-05,CLSK,4.749697835746439,0.73,3 months,3.4672794200949
2023-07-05,UPST,6.559410606820446,0.8,3 months,5.247528485456357
2023-07-05,SSTK,-0.0887723501768029,0.58,1 month,-0.051487963102545685
2023-07-05,ZIM,-0.08830713548091473,0.62,1 month,-0.05475042399816713
2023-07-05,ISTB,-0.009831281545286383,0.57,1 month,-0.005603830480813238
2023-07-05,BSCP,-0.004812975040746877,0.58,1 month,-0.0027915255236331885
2023-07-05,CPRI,0.009129780972322678,0.57,1 month,0.005203975154223926
2023-07-05,BOOT,1.465521706359414,0.72,3 months,1.055175628578778
2023-07-05,SIG,0.06578437981098229,0.63,1 month,0.04144415928091884
2023-07-05,ANGL,0.0863948010455091,0.63,1 month,0.054428724658670734
2023-07-05,FNDF,0.11587126327911637,0.59,1 month,0.06836404533467866
2023-07-05,PNC,0.1303933467745365,0.58,1 month,0.07562814112923118
2023-07-05,OC,0.9200164424902834,0.57,1 month,0.5244093722194615
2023-07-05,CZR,1.0007729672144572,0.59,1 month,0.5904560506565297
2023-07-05,LAD,1.0263443422189225,0.62,1 month,0.6363334921757319
2023-07-05,URI,1.1363066258076704,0.59,1 month,0.6704209092265255
2023-07-05,ALGT,1.264626216711706,0.6,1 month,0.7587757300270236
2023-07-05,SNAP,1.3277841723249786,0.65,1 month,0.8630597120112361
2023-07-05,CELH,1.7481673650788896,0.6,1 month,1.0489004190473337
2023-07-05,CLSK,2.900146625535244,0.58,1 month,1.6820850428104415
2023-07-05,OSTK,3.271866588697168,0.58,1 month,1.8976826214443574
2023-07-05,DIS,0.07060090097210985,0.61,1 month,0.043066549592987
2023-07-05,PNC,-26.21682241532712,0.85,year,-22.28429905302805
2023-07-05,CZR,1.4294257241507191,0.76,3 months,1.0863635503545466
2023-07-05,SONO,0.05411121573429579,0.8,3 months,0.043288972587436636
2023-07-05,FPE,-10.109393415887908,0.85,year,-8.59298440350472
2023-07-05,CNXC,-7.025503597686432,0.87,year,-6.112188129987196
2023-07-05,MMM,-5.742161461540453,0.86,year,-4.93825885692479
2023-07-05,SCHP,-0.8114610324427135,0.86,year,-0.6978564879007336
2023-07-05,MORN,8.694975356135213,0.86,year,7.477678806276283
